tDec	storage
1992.74863387978	0
1992.83333333333	-1.2529983524351
1992.91530054645	-1.42747185658883
1993	-2.55343805374661
1993.16164383562	-5.43649461335979
1993.24657534247	-5.36195350400314
1993.32876712329	-4.50809871622458
1993.41369863014	-2.01852656180995
1993.58082191781	-0.366126393097354
1993.74794520548	-1.29409642690544
1993.83287671233	-2.45152040713533
1993.91506849315	-3.33999720337919
1994	-4.72704964888581
1994.08493150685	-5.54149072451653
1994.16164383562	-5.86512425108823
1994.24657534247	-5.65067810585276
1994.32876712329	-5.50588047199454
1994.41369863014	-4.22249416500191
1994.49589041096	-0.703826920898344
1994.58082191781	0.0248203542428147
1994.66575342466	0.0296801181421477
1994.74794520548	-1.15316026527571
1994.83287671233	-2.34418047493699
1995.08493150685	-4.19748291637141
1995.32876712329	-2.71296523532415
1995.41369863014	-1.75536962964021
1995.58082191781	-0.134193745637861
1995.74794520548	-1.15392718839322
1995.83287671233	-1.56005289210275
1996	-3.64918513430693
1996.24863387978	-3.81182903843175
1996.3306010929	-1.87624064016656
1996.49726775956	-0.860399892445429
1996.74863387978	0.0636007019857798
1996.83333333333	-0.290325424872641
1996.91530054645	-1.39468504908152
1997.08493150685	-4.49960154813911
1997.32876712329	-5.58244548506525
1997.41369863014	-3.51630841420659
1997.58082191781	-0.852880229986869
1997.66575342466	0.132778470824507
1997.83287671233	-0.196142371813031
1998	-0.177975404779603
1998.08493150685	-1.44469925748005
1998.16164383562	-5.0216919837822
1998.24657534247	-4.30951024392689
1998.32876712329	-2.55735066664328
1998.41369863014	-2.17772150349119
1998.49589041096	-1.04407754700375
1998.58082191781	-0.0285620517445473
1998.66575342466	-0.0516829371400702
1998.74794520548	-0.515928911845357
1998.83287671233	-1.33520074710464
1999.08493150685	-5.12350303343752
1999.16164383562	-5.48008910731676
1999.24657534247	-5.90477634435342
1999.32876712329	-5.32150062336621
1999.49589041096	-3.56630607423889
1999.58082191781	-1.72835463457112
1999.66575342466	-1.03969916963768
1999.74794520548	-1.76353860066204
1999.83287671233	-3.05160070278288
1999.91506849315	-3.73087276589978
2000	-4.83731948746755
2000.08469945355	-5.19688520794234
2000.16393442623	-6.04728590735587
2000.24863387978	-6.04917884182829
2000.3306010929	-5.68337530642847
2000.41530054645	-5.02702917262108
2000.49726775956	-3.2694658353944
2000.58196721311	-1.45988440216821
2000.66666666667	-1.16240458088452
2000.74863387978	-2.05443288444535
2000.83333333333	-3.56526174655256
2000.91530054645	-4.23074949428454
2001	-4.56770839778926
2001.08493150685	-5.18906313638292
2001.24657534247	-5.79438188303107
2001.32876712329	-5.3283554144426
2001.41369863014	-5.13048661087434
2001.49589041096	-3.10755585035535
2001.58082191781	-2.06007529075117
2001.66575342466	-2.61403870806474
2001.74794520548	-3.07221586843159
2001.83287671233	-3.15294989265526
2001.91506849315	-4.83689590640131
2002	-5.15039290530339
2002.08493150685	-5.18112957876491
2002.16164383562	-5.84495007621451
2002.24657534247	-5.33826059406863
2002.32876712329	-3.66637109088631
2002.41369863014	-2.46325893756087
2002.49589041096	-0.357054107703971
2002.74794520548	-1.24960303267829
2002.83287671233	-3.02433130767639
2002.91506849315	-5.61358024632968
2003.16164383562	-5.40149359340853
2003.24657534247	-4.99730528179306
2003.32876712329	-2.85888105099635
2003.49589041096	-0.0957116097293604
2003.58082191781	-1.45909729555369
2003.74794520548	-0.558120539735991
2003.83287671233	-2.25183438996233
2004	-4.68424374079576
2004.08469945355	-5.05886556027284
2004.16393442623	-6.03311576438492
2004.24863387978	-6.02434161155375
2004.3306010929	-5.45723180052168
2004.58196721311	-2.94464969770894
2004.66666666667	-3.15912206908052
2004.74863387978	-3.2369253093819
2004.83333333333	-3.71590268703232
2004.91530054645	-5.18707245288812
2005	-5.63021710341618
2005.08493150685	-4.91960838578307
2005.16164383562	-5.36119805153062
2005.24657534247	-5.48832638464936
2005.32876712329	-4.9507908681479
2005.41369863014	-3.89413244006961
2005.49589041096	-0.455355684842946
2005.58082191781	0.0459264460416591
2005.66575342466	-0.0286119277902758
2005.74794520548	-0.743627331892272
2005.83287671233	-1.35157650717712
2005.91506849315	-2.53134251865382
2006	-3.04599913491705
2006.08493150685	-4.92368930267235
2006.24657534247	-5.62828170794952
2006.32876712329	-4.79475833885297
2006.41369863014	-3.04599913491705
2006.49589041096	-1.77685528831532
2006.66575342466	-0.186840760389497
2006.74794520548	-0.681868128356772
2006.91506849315	-3.13981333606439
2007	-3.53836499915674
2007.08493150685	-4.74424021365075
2007.16164383562	-4.78671947052513
2007.24657534247	-2.67443539610324
2007.32876712329	-1.89434890951473
2007.41369863014	-1.68304871767505
2007.49589041096	-0.485538336317675
2007.58082191781	0.0518987618589113
2007.74794520548	-1.73387452565763
2007.83287671233	-2.48110357602222
2007.91506849315	-4.22181488226904
2008.08469945355	-5.36813632583276
2008.16393442623	-6.02782895249179
2008.24863387978	-5.76086032645485
2008.3306010929	-5.6519673535746
2008.41530054645	-4.43297923473495
2008.49726775956	-1.98217715347729
2008.66666666667	-0.458531476280226
2008.74863387978	-2.15019683633815
2008.83333333333	-4.5604441027925
2008.91530054645	-5.54591737571192
2009	-4.95776858191918
2009.08493150685	-5.15413317881507
2009.16164383562	-5.8415846129157
2009.24657534247	-4.50075672323504
2009.32876712329	-3.78117802958512
2009.41369863014	-2.55976623534709
2009.49589041096	-2.42490503032604
2009.58082191781	0.184568144474019
2009.66575342466	-0.404278883319215
2009.74794520548	-2.47757681715435
2009.83287671233	-3.50242341007185
2009.91506849315	-5.02930040114416
2010	-5.53559497005076
2010.08493150685	-5.9192813068353
2010.16164383562	-5.99467282071335
2010.24657534247	-5.82343100145842
2010.32876712329	-5.09050303221947
2010.41369863014	-3.32334813968426
2010.49589041096	-2.34173414843158
2010.66575342466	0.583959296260008
2010.74794520548	-0.576896115139254
2010.83287671233	-2.02562987857539
2010.91506849315	-3.80087562748969
2011	-4.61694510534738
2011.16164383562	-5.54379453853112
2011.24657534247	-5.25017874012824
2011.32876712329	-3.63896168377253
2011.41369863014	-2.69207089876784
2011.58082191781	-0.0349944014846133
2011.66575342466	0.562016337626375
2011.74794520548	0.0849735593998487
2011.83287671233	-1.57738528176513
2011.91506849315	-2.92587587607652
2012.08469945355	-4.84929387680272
2012.24863387978	-5.9849019401591
2012.3306010929	-5.70500680408936
2012.41530054645	-5.54485637800343
2012.49726775956	-4.65976410785126
2012.58196721311	-2.67443539610324
2012.66666666667	-0.255669029523708
2012.74863387978	-0.554495263745801
2012.83333333333	-1.88913727762145
2012.91530054645	-2.89872816067737
2013	-4.23707072846682
2013.08493150685	-4.41338813083037
2013.16164383562	-5.45332928928505
2013.24657534247	-5.37225735296048
2013.32876712329	-5.45245097879394
2013.41369863014	-3.07289121681776
2013.49589041096	0.0824068987536815
2013.58082191781	2.61828916431804
2013.66575342466	3.40074665213245
2013.74794520548	1.93393507501802
2013.83287671233	-0.191713928877691
2013.91506849315	-2.52294804756322
2014	-3.36401738846585
2014.08493150685	-4.09079562100994
2014.16164383562	-5.43061788206696
2014.24657534247	-4.10683720040533
2014.32876712329	-2.63569470300747
2014.41369863014	-2.11052212576467
2014.49589041096	0.376161100461335
2014.58082191781	3.08267853178776
2014.66575342466	3.73440906639523
2014.74794520548	3.17781993703989
2014.83287671233	1.6590036555447
2014.91506849315	-0.574324658895438
2015	-2.46877203998653
2015.08493150685	-3.51627547542714
2015.16164383562	-5.63396068241953
2015.24657534247	-2.18742559704033
2015.32876712329	0.828843773127635
2015.41369863014	1.66491312195618
2015.49589041096	2.93359464637783
2015.58082191781	3.59121637119967
2015.66575342466	3.19940425560841
2015.74794520548	1.22276829857299
2015.83287671233	0.456717730703837
2015.91506849315	-1.48660726171691
2016	-1.54775802408549
2016.08469945355	-3.92488048081792
2016.16393442623	-5.20381076836974
2016.24863387978	-4.03801852618652
2016.3306010929	-2.93031090739115
2016.41530054645	0.670349324521454
2016.49726775956	2.27482479653255
2016.58196721311	3.70122875012112
2016.66666666667	2.63695370680984
2016.74863387978	0.0542583601053321
2016.83333333333	-1.37547097123201
2016.91530054645	-4.34545601147676
2017.08493150685	-5.25365065377021
2017.16164383562	-5.96881919341051
2017.24657534247	-5.15947382502482
2017.32876712329	-4.64123285617022
2017.41369863014	-1.59580591969843
2017.49589041096	1.2753623383436
2017.58082191781	3.78013042359501
2017.66575342466	1.98157438283286
2017.74794520548	-1.21410626566753
2017.83287671233	-2.67575581426185
2017.91506849315	-5.29085221546549
2018	-5.44837649803671
2018.08493150685	-5.69352630636774
2018.16164383562	-6.04213565011128
2018.24657534247	-5.76354830984463
2018.32876712329	-5.72636188342141
2018.41369863014	-5.46048551172828
2018.49589041096	-5.02591460230322
2018.58082191781	-2.38757221539958
2018.66575342466	-1.95271151981632
2018.74794520548	-3.35558110266313
2018.83287671233	-3.90337839070811
2018.91506849315	-5.01678172931842
2019	-4.98941744186444
2019.08493150685	-4.88293728189691
2019.16164383562	-4.78242759057136
2019.24657534247	-5.15660928654804
2019.32876712329	-3.39346304715594
2019.41369863014	-3.78668018127349
2019.49589041096	-2.14239061849358
2019.58082191781	1.26532230320792
2019.66575342466	2.18054934449046
2019.74794520548	0.413590039688284
2019.83287671233	-0.924057827808814
2019.91506849315	-1.47391019580904
2020	-1.4403624569415
2020.08469945355	-1.59666781419019
2020.16393442623	-2.50728883586944
2020.24863387978	-0.69026097587969
2020.3306010929	1.06723445432851
2020.41530054645	1.22047154058305
2020.49726775956	2.42606489444419
2020.58196721311	3.86558338702201
2020.66666666667	3.31729158092956
