tDec	storage
1993	0
1993.08493150685	-0.831310127779866
1993.16164383562	-2.25845508418091
1993.24657534247	-2.74459953392408
1993.32876712329	-4.41433270363407
1993.41369863014	-5.07181664924617
1993.49589041096	-2.47672804633775
1993.83287671233	-0.282884232079914
1993.91506849315	-0.0290421963322015
1994	0.0776463422191568
1994.08493150685	-0.402536854802036
1994.16164383562	-2.10602811273119
1994.24657534247	-3.00670668330023
1994.32876712329	-4.43287718176733
1994.49589041096	-5.21779069232789
1994.58082191781	-4.78306659622367
1994.74794520548	-0.484017654018465
1994.83287671233	-0.211472901666033
1994.91506849315	0.394869880514132
1995	0.671384138387871
1995.08493150685	-0.764510115246901
1995.16164383562	-1.71230386006638
1995.24657534247	-2.55498293468957
1995.32876712329	-3.68775878150266
1995.41369863014	-4.63319603836518
1995.49589041096	-4.76753705918941
1995.74794520548	-0.30923430785105
1995.83287671233	0.0603406023243312
1995.91506849315	-1.18742222574028
1996	1.20693231738123
1996.16393442623	-1.4837089041797
1996.24863387978	-1.97062257664846
1996.3306010929	-2.97597330502255
1996.41530054645	-4.79154571103225
1996.49726775956	-3.33013071835308
1996.58196721311	-2.89230660125828
1996.66666666667	-2.16430839124725
1996.74863387978	-0.241250882386159
1996.83333333333	-0.31638449462047
1996.91530054645	-0.533346432864631
1997.08493150685	-1.97991518124157
1997.16164383562	-2.20164246292662
1997.24657534247	-3.66249181050524
1997.32876712329	-4.18222361072905
1997.41369863014	-5.48422379226014
1997.49589041096	-5.29257577227567
1997.58082191781	-4.02416084936088
1997.66575342466	-3.47446519437159
1997.74794520548	-1.89394216684401
1997.83287671233	-1.8908073174641
1997.91506849315	-2.18168968501934
1998	-2.15912119982803
1998.08493150685	-2.38095673927126
1998.16164383562	-2.88921328634073
1998.24657534247	-3.28722998844703
1998.32876712329	-4.35465973319084
1998.41369863014	-5.41241406198096
1998.49589041096	-5.50031136148318
1998.66575342466	-0.688065974936017
1998.83287671233	1.20693231738123
1998.91506849315	0.035281930865612
1999	-0.0326463399107143
1999.08493150685	-0.60893408266226
1999.16164383562	-1.56726949037138
1999.24657534247	-2.60919599604924
1999.32876712329	-3.82551918833972
1999.41369863014	-4.84472636310625
1999.49589041096	-3.92390485573416
1999.58082191781	-3.7002201373449
1999.66575342466	-1.05459796937477
1999.74794520548	-0.38999363752454
1999.83287671233	-0.27312488501939
1999.91506849315	0.0148960179529808
2000	-0.644359366257114
2000.08469945355	-0.89664659185418
2000.16393442623	-2.21449508594915
2000.24863387978	-2.86128876161227
2000.3306010929	-3.66602795794241
2000.41530054645	-4.75282359393924
2000.49726775956	-4.72036108595642
2000.58196721311	-4.06629580974959
2000.66666666667	-3.6987822593041
2000.74863387978	-2.13867731581436
2000.83333333333	-2.43021642239516
2000.91530054645	-2.4853054799196
2001	-2.95491523831909
2001.08493150685	-3.36234927803172
2001.16164383562	-4.20773052547113
2001.24657534247	-4.8202858938278
2001.32876712329	-4.97260477182518
2001.49589041096	-5.49233034002684
2001.58082191781	-4.3135675517567
2001.66575342466	-2.91996035332247
2001.83287671233	-1.84090210246225
2002	-2.9241598931934
2002.16164383562	-3.64669565372351
2002.24657534247	-4.79134340224854
2002.49589041096	-5.25766370534483
2002.58082191781	-5.8900898699589
2002.66575342466	-4.22873792539422
2002.83287671233	-1.75401463873449
2002.91506849315	-2.39899687309518
2003	-2.60230990423896
2003.08493150685	-2.95484776740052
2003.16164383562	-3.24845014097728
2003.24657534247	-3.65707649159516
2003.32876712329	-4.90685396158593
2003.49589041096	-4.43820229900635
2003.58082191781	-3.70978814598157
2003.66575342466	-2.11858206815374
2003.74794520548	-0.630192388206217
2003.83287671233	-0.341767537649368
2003.91506849315	0.0613137758754048
2004	-0.825478566962613
2004.08469945355	-0.958692596566019
2004.16393442623	-1.1101867787851
2004.24863387978	-2.02979444763899
2004.3306010929	-2.9363402805776
2004.49726775956	-5.50231110166937
2004.58196721311	-4.18813964952271
2004.83333333333	-0.507770984271072
2004.91530054645	-0.856006085329912
2005	-0.999939130271854
2005.08493150685	-1.50509756409181
2005.16164383562	-1.60138901198467
2005.24657534247	-2.06577314914587
2005.32876712329	-2.79025279836432
2005.41369863014	-4.23115809050498
