Time	Magnitude	Latitude	Longitude	Depth_km	ClosestDist_km	ClosestLakeID	LakeName	LakeLat	LakeLon	Group
1998.48482	6.25	36.941	35.257	20	15.9194707870483	3539	Seyhan	37.0794035172	35.302864525	Pos_Re
2001.818571	5.55	26.264	100.664	15	17.8640460968018	9920040	ludila dam	26.21975	100.4918125	Pos_Re
2006.99691	5.54	-38.005	-71.4	17.7	19.8210849761963	11320	Ralco	-38.170125	-71.4853125	Pos_Re
2008.359396	7.91	30.98	103.396	10	15.2873020172119	9920051	Zipingpu	31.028125	103.54625	Pos_Re
2008.559338	5.57	32.789	105.551	15	16.9699935913086	3845	Baozhusi	32.6377270942	105.526999233	Pos_Re
2015.239082	5.5	26.697	108.758	15	8.02458953857422	2762	sanbanxi dam	26.6275	108.77975	Pos_Re
2015.92971	7.19	38.092	72.912	13	19.2511825561523	1843	usoi dam	38.2056363023	72.7459069146	Pos_Re
2017.164856	5.57	37.616	38.415	14	15.0207662582397	243	Ataturk Dam	37.4875408568	38.4677087402	Pos_Re
2019.727473	5.68	33.067	73.725	13.2	14.760871887207	703	Mangla	33.190759204	73.7823374191	Pos_Re
1993.047308	5.9	30.73	90.485	10	15.5455703735352	94	Nam	30.7125979297	90.6463626438	Pos_Na
2004.1795	5.56	31.601	91.293	10	17.4362316131592	1111	Dogen	31.7087946734	91.1592144644	Pos_Na
2004.574762	5.65	-4.137	143.078	51	13.8579320907593	844	Chambri	-4.25712739317	143.111276488	Pos_Na
2008.647658	6.7	30.976	83.594	12	9.68205451965332	1161	P'a-lung	30.8897683816	83.5799239646	Pos_Na
2011.806832	7.14	38.712	43.475	15	9.9169750213623	1529	Ercek	38.6751520363	43.5790582269	Pos_Na
