Time	Magnitude	Latitude	Longitude	Depth	ClosestLakeID	ClosestLakeDist_km
1992.001903	6.02	48.571	-129.342	15	4747	304.119956327682
1992.003155	5.59	-49.007	123.652	15	758	1857.19680812343
1992.02095	5.71	-9.019	-109.744	15	4328	3189.18330048502
1992.023588	5.54	2.419	127.655	28.7	502	714.226349929607
1992.025357	5.64	9.277	87.045	20	2645	655.149462601942
1992.036388	5.69	17.963	-70.664	18.4	519	111.464563803736
1992.057997	5.59	38.335	20.542	15	2559	104.374128193542
1992.077272	5.82	24.893	63.159	27	9799	401.88308929795
1992.07925	5.88	-58.157	148.321	15	758	1697.12298143282
1992.084915	6.01	-51.913	139.777	10	758	1105.28024160283
1992.096234	5.73	29.597	95.638	13.4	1186	465.509130520307
1992.110704	5.7	-9.327	124.741	18.4	3157	784.599417093458
1992.11516	6.77	-15.905	166.231	24.9	1782	1895.29881227688
1992.1191	5.61	-4.283	146.476	25	844	373.112426471667
1992.125945	5.95	79.161	124.679	15	474	711.047245953388
1992.126469	6.13	-56.049	158.226	15	525	1376.03607223817
1992.15101	5.92	11.778	57.782	15	814	1744.68393130686
1992.159447	5.55	12.278	141.331	16.9	1215	1617.56943872128
1992.165309	5.52	-40.395	176.41	21	290	183.218678013187
1992.167374	5.58	44.098	149.097	28.5	1588	1055.52933835433
1992.170184	6.42	-2.923	147.972	15	844	559.44154371935
1992.173502	6.22	11.474	42.862	15	814	122.347448948023
1992.180085	6.16	-3.52	146.573	20	844	392.686427664798
1992.182728	5.53	-58.484	149.299	10	758	1740.39981083224
1992.193144	5.51	35.341	-2.625	15	3235	230.022925090658
1992.196362	6.65	39.706	39.6	20	6934	78.2543829061575
1992.196422	6.2	-9.196	152.405	27.2	5747	541.352799041388
1992.203141	5.53	-24.047	-177.239	15	290	1763.22993239123
1992.211565	6.02	17.238	120.91	18.9	6757	70.8430509309555
1992.221243	5.75	-42.514	-18.454	10	6767	3217.93716489024
1992.226596	5.99	-55.554	-123.297	15	880	3312.26793824596
1992.229233	5.55	-37.459	177.266	15	290	191.011008165419
1992.231604	5.93	51.194	-179.693	25	705	1396.5906746757
1992.243003	5.91	-17.835	-116.23	15	634	4345.65141480957
1992.244072	6.28	-49.597	-113.887	15	883	2861.5000494898
1992.24991	5.6	-37.314	-17.32	15	6767	3012.07956166601
1992.258247	5.68	35.838	80.696	10	708	95.2262309435199
1992.261683	6.66	50.572	-130.511	15	4747	359.60708704045
1992.261782	5.86	-1.952	97.708	14.9	1510	348.411134949241
1992.265434	5.97	-16.859	168.223	14.5	1782	1985.0051327604
1992.278907	5.61	-31.591	-176.933	10	290	1032.00555920678
1992.294009	6.58	-5.421	102.923	28.6	1308	129.330907436594
1992.297803	6.07	23.853	121.625	23.1	1777	412.325217735364
1992.298724	5.7	-22.243	170.34	15	1782	1879.63579421251
1992.307191	6.16	33.866	-116.416	10	209	82.6865048882364
1992.307286	5.6	51.443	-130.937	15	707	356.681333446885
1992.308272	6.07	22.47	98.996	10	711	139.226529191339
1992.31019	6.01	27.547	66.235	20	9799	267.225710938083
1992.31139	5.88	-9.034	-109.826	15	4328	3193.8167863992
1992.31418	7.16	40.387	-124.101	15	4206	132.056605871666
1992.327144	5.75	35.122	26.64	26.3	49110	312.48248438479
1992.334252	5.5	-15.33	-175.392	16.1	290	2744.77389538328
1992.345699	5.98	41.21	144.693	20	1588	573.245011209056
1992.353648	5.78	37.162	72.922	20	1843	117.07702527591
1992.360723	6.66	-16.433	-172.343	13.9	290	2737.54784630519
1992.367511	5.64	-32.622	-178.146	10	290	871.78127966568
1992.371658	5.74	-38.3	178.204	25	290	208.261460078605
1992.372064	5.55	-6.003	105.36	15	1308	203.063812944506
1992.373468	7.07	7.369	126.644	25	1188	262.687997186481
1992.377746	6.29	7.293	-82.321	13	16689	338.234068544648
1992.37924	5.59	28.149	55.612	24.8	8870	245.903693617779
1992.379502	5.82	-9.445	159.345	25	5747	1301.24231424029
1992.381969	6.04	33.341	71.331	15	1078	99.5797116849426
1992.385657	5.89	31.121	141.854	29.8	1019	564.199769135662
1992.38851	6.18	-3.499	144.221	27.5	844	149.208177821272
1992.394577	5.71	-4.757	139.754	21.6	447	314.6569033227
1992.39618	6.81	19.579	-77.808	13	2777	301.471029320794
1992.400323	7	-10.982	165.269	18.8	5747	1953.16181272008
1992.404907	5.74	47.683	155.265	20	705	863.179996976519
1992.405125	5.52	23.117	121.405	15.9	1777	459.5802240766
1992.418441	5.83	-16.059	92.786	25	1308	1742.43404147041
1992.419596	6.14	51.081	178.758	25	705	1304.03581300432
1992.420832	5.62	-4.594	-104.714	10	4328	2563.20436292874
1992.422093	6.02	28.057	128.069	24.7	9920032	724.917443276923
1992.435636	5.53	-65.252	178.976	10	603	2330.8030899067
1992.45096	5.59	-26.495	-177.54	25	290	1498.45278482847
1992.452067	6.27	24.042	95.961	15.7	592	91.6598591892078
1992.453374	5.69	-60.867	154.129	15	525	1955.00632294147
1992.458208	6.11	-60.445	-57.028	15	304	907.33776971433
1992.470194	6.22	-37.692	176.969	15	290	154.495921187362
1992.471368	6.33	-60.703	-21.925	10	304	2742.84117580835
1992.474205	5.53	-18.723	172.19	16.1	1782	2220.40162567705
1992.474944	6.03	-36.204	-101.243	10	214	2516.6556294813
1992.475138	5.65	-17.859	-174.697	17.4	290	2499.94833432898
1992.477777	5.86	51.456	-173.421	25	376	1152.79134717962
1992.479867	6.48	-28.295	-176.693	15.8	290	1353.51889814874
1992.48224	5.84	-33.669	-178.651	15	290	750.89890414121
1992.483178	5.84	6.024	-82.479	25	16689	450.442512090765
1992.486228	5.6	19.029	-80.564	20	2777	335.787694651088
1992.488702	7.29	34.188	-116.557	10	209	118.795396690734
1992.491288	5.51	-5.199	-100.983	10	2037	2410.70702268294
1992.498999	5.58	-33.132	-178.663	20	290	797.490666045849
1992.506711	5.76	-13.413	-111.419	15	4328	3710.77726933779
1992.521278	6.52	44.76	149.366	17	640	1020.1510386166
1992.53662	5.89	39.36	143.319	20	1588	350.448771291698
1992.537371	5.81	-4.846	-106.132	10	4328	2626.8350072033
1992.548458	6.69	78.612	5.503	15	9910439	629.573190321271
1992.556946	5.59	-54.424	143.279	15	758	1292.73103110327
1992.558768	5.79	-6.906	149.97	20	5747	397.666765591394
1992.56231	5.52	0.409	-25.08	10	1560	1474.59934316155
1992.567469	5.68	-56.775	146.414	15	758	1536.96564334022
1992.572429	5.55	-55.159	-128.462	10	880	3638.9744048299
1992.575908	6.11	29.629	90.235	10	331	88.2003462553329
1992.583828	6.22	-0.832	127.52	21.2	314	702.557336845362
1992.587192	5.61	-10.416	164.287	22.7	5747	1843.26102304045
1992.590288	5.63	43.442	-127.024	15	629	435.165855314749
1992.591348	5.63	-26.832	-106.425	10	423	3452.67918524029
1992.596565	5.54	24.694	122.362	15	8210	412.199690743788
1992.598942	6.77	57.519	-142.921	15	462	477.953065969327
1992.609542	6.2	32.652	141.854	23.1	1019	400.80036422341
1992.629815	6.09	50.552	-174.9	15.4	376	1290.60627491702
1992.629943	7.2	42.049	73.571	21.8	830	63.0248694674885
