dmax_km	EF_All	Jack90_All_Low	Jack90_All_High	EF_Reservoir	Jack90_Re_Low	Jack90_Re_High	EF_Natural	Jack90_Na_Low	Jack90_Na_High	Null90_All_Low	Null90_All_High	Null90_Re_Low	Null90_Re_High	Null90_Na_Low	Null90_Na_High
20	0.601817260672276	0.46513862332696	0.748500367146192	0.349130119090498	0.230389140608976	0.455107724832534	0.937433996645477	0.633835916994111	1.32816734014737	0.498603696578281	1.97673837851173	0.349130119090498	2.79602811335384	0.357294539000349	2.68254439823067
25	0.853644563302066	0.69641050864848	1.01699479078507	0.522847664036261	0.353919340595159	0.660561045635519	1.24359036573333	0.958257935899402	1.61316906341423	0.532081114698196	1.73556620597414	0.380252846571826	2.59367849999281	0.397611098438504	2.16436941077066
30	0.92463173510425	0.782055146140192	1.07735994860557	0.655220236071108	0.474544896421495	0.816935188862271	1.1905938034443	0.959883679007081	1.48080699527848	0.566965979521407	1.64436710249566	0.425916340207601	2.31528036483829	0.451750510873165	1.92828085803895
35	1.01795559087321	0.889527062786967	1.16315094210988	0.796336540337432	0.629706191045857	1.00955883104395	1.20484583732368	1.0161542573494	1.43028783846386	0.611055077176291	1.55590333214845	0.452916407316914	2.07024525651387	0.521200664055031	1.77035670554875
40	1.31188441444555	1.16351749482774	1.48263560131548	1.0767142566579	0.877401366173702	1.32116102710672	1.5298150528207	1.32944089967251	1.80607083256589	0.653586886999463	1.46481408933169	0.529129143025278	1.83479372782163	0.564010360654234	1.64234185969203
45	1.30422253704266	1.16267115682936	1.46614128134387	1.01666200726866	0.845029546027253	1.22192868759292	1.5734151051252	1.35740834323813	1.84436671213117	0.676868742238889	1.42179067451266	0.548709407017842	1.73357386312874	0.603796083608384	1.61563636539737
50	1.21445471473547	1.09728327461935	1.34493452697102	1.03986239745965	0.88107087344168	1.20612928706892	1.36521241806814	1.19680863901026	1.56888657574458	0.710289736320195	1.36374519042224	0.591231500717113	1.60916108179683	0.635719684855583	1.51664497127698
55	1.29026882413615	1.17373215350383	1.41931207086822	0.97461985389373	0.832067496198855	1.11480978250103	1.65819241078988	1.46678041145872	1.90118507288093	0.734109082951407	1.33751147141132	0.634417707914581	1.50944772740206	0.657819379599372	1.49364737753083
60	1.24141519227997	1.13826722043681	1.35439407546291	1.05069947491472	0.908229590127067	1.19734533825762	1.44171320301222	1.2930687825041	1.62204114708208	0.758410971348322	1.31544077910853	0.663087277913086	1.47754613659883	0.679827336801132	1.4558859325934
65	1.15918628596872	1.06969834001868	1.25436411728748	1.04519167272557	0.922285524481099	1.17554188053402	1.28065295779585	1.15154840880802	1.43153325958446	0.772761754717834	1.28196769313789	0.687455303561617	1.42381997055337	0.69623828088377	1.42167286483173
70	1.16368347742555	1.07686771250606	1.25140654455773	1.07879210491658	0.950318783258885	1.19830514764694	1.25623782682147	1.13799209569574	1.39022476965219	0.779379717273014	1.25998161745442	0.711832642664924	1.37439710396213	0.694319440445208	1.39160163257983
75	1.15333782225664	1.07009102845878	1.23634225034413	1.12348619909216	1.00251398615035	1.24010155715597	1.18548149477485	1.07412129626761	1.3080099091738	0.786560629595766	1.24725633237602	0.723197882677627	1.34933546592968	0.708438944014088	1.37501366452286
