# Median water storage curves
# Sample sizes
# N_Reservoir_Increase	310
# N_Reservoir_Notrend	352
# N_Reservoir_Decrease	259
# N_Natural_Increase	218
# N_Natural_Notrend	376
# N_Natural_Decrease	456
# N_All_Increase	528
# N_All_Decrease	715

Year	Reservoir_Increase	Reservoir_Decrease	Natural_Increase	Natural_Decrease	All_Increase	All_Decrease
1992.66666666667	NaN	NaN	NaN	NaN	NaN	NaN
1992.75	-0.811780128689002	0.142566664011308	-0.486003951511177	0.228620232738035	-0.626679915595705	0.199846090919361
1992.83333333333	-0.861691705886253	0.163594678987034	-0.463438419332538	0.236331556382552	-0.639228902449136	0.199572234826274
1992.91666666667	-0.836053192477496	0.217798963512295	-0.47299569512672	0.255768690558273	-0.658962480674644	0.243500623737532
1993	-0.843941676409103	0.28906520438109	-0.477518127494879	0.3733605143806	-0.62912480033787	0.327504491644481
1993.08333333333	-0.860474290640795	0.26683933416515	-0.508888983942008	0.422396211899672	-0.616791994040728	0.348409947092992
1993.16666666667	-0.914409425176603	0.234781400726301	-0.465501513182057	0.465509496169332	-0.68126258686374	0.343428515965848
1993.25	-0.914147063490027	0.267610511639885	-0.40372909157529	0.477530843937813	-0.723004579856467	0.365326684618475
1993.33333333333	-0.927591407344864	0.310544250940938	-0.412633899936864	0.451781527927896	-0.742703418366644	0.381023312880902
1993.41666666667	-0.909572700996233	0.332250405379271	-0.45741780182271	0.349938083188712	-0.696571373796885	0.34878844728603
1993.5	-0.883847157945656	0.339767667259765	-0.491850438518222	0.250393651791346	-0.691162501863403	0.28831564188622
1993.58333333333	-0.878029675330705	0.24719746224947	-0.487021666268854	0.270847102530899	-0.643622296339886	0.262573490836914
1993.66666666667	-0.860808860494105	0.272813234164687	-0.382860582282433	0.253918813291167	-0.60321995300311	0.268313106874456
1993.75	-0.855132904966804	0.220536944857879	-0.380697964264931	0.28651817751146	-0.564425422872809	0.258259496691632
1993.83333333333	-0.894607686489086	0.244019032817364	-0.383976392653452	0.313314864151539	-0.57692261935688	0.287847160785563
1993.91666666667	-0.861395950630863	0.227538473730952	-0.350356809396672	0.337228577471222	-0.561115622711984	0.31591301017382
