Time	Magnitude	Latitude	Longitude	Depth_km	ClosestDist_km	ClosestLakeID	LakeName	LakeType	LakeLat	LakeLon	Group
1993.047308	5.9	30.73	90.485	10	15.5455700952338	94	Nam	Natural	30.7125979297	90.6463626438	All
1994.576918	5.54	32.574	48.398	22.8	9.26496863815743	2969	Dez	Reservoir	32.641236366	48.4564199448	All
1997.386248	6.48	18.625	-101.72	60	12.8301955074868	634	Inhernillo	Reservoir	18.596702171	-101.838033118	All
1997.459074	5.58	-27.644	-64.85	20	18.1533798706097	1031	Rio Hondo	Reservoir	-27.5405548463	-64.9925095894	All
1998.48482	6.25	36.941	35.257	20	15.9194705811751	3539	Seyhan	Reservoir	37.0794035172	35.302864525	All
2001.818571	5.55	26.264	100.664	15	17.8640462098504	9920040	ludila dam	Reservoir	26.21975	100.4918125	All
2001.868291	7.79	35.964	90.549	10	8.29778749041376	1604		Natural	35.9263157156	90.628559445	All
2002.089801	6.46	38.578	31.156	10	7.97727731745322	9910290	Eber	Natural	38.649324262	31.1658864132	All
2004.1795	5.56	31.601	91.293	10	17.4362308595441	1111	Dogen	Natural	31.7087946734	91.1592144644	All
2004.574762	5.65	-4.137	143.078	51	13.8579322742317	844	Chambri	Natural	-4.25712739317	143.111276488	All
2006.99691	5.54	-38.005	-71.4	17.7	19.8210849542626	11320	Ralco	Reservoir	-38.170125	-71.4853125	All
2007.132394	5.61	1.764	30.841	25	12.2184657330093	24	Albert	Natural	1.72455677098	30.9436076355	All
2007.173606	6.43	-0.52	100.534	17.9	10.2879545838645	1510	Danau Singkarak	Natural	-0.612238475006	100.54123547	All
2008.359396	7.91	30.98	103.396	10	15.2873023524804	9920051	Zipingpu	Reservoir	31.028125	103.54625	All
2008.559338	5.57	32.789	105.551	15	16.9699940721535	3845	Baozhusi	Reservoir	32.6377270942	105.526999233	All
2008.647658	6.7	30.976	83.594	12	9.68205422182498	1161	P'a-lung	Natural	30.8897683816	83.5799239646	All
2009.860576	5.74	9.372	125.597	25	12.3369163777761	1188	Mainit	Natural	9.45417053323	125.521433261	All
2011.122697	6.07	-2.446	121.487	20	16.4740108222569	1035	Danau Matano	Natural	-2.48310642953	121.343434915	All
2011.806832	7.14	38.712	43.475	15	9.91697495647644	1529	Ercek	Natural	38.6751520363	43.5790582269	All
2011.939972	6.46	17.91	-99.931	64.1	7.13108615850508	4328	Carlos Ramirez Ulloa	Reservoir	17.960895388	-99.8899878004	All
2013.39126	5.72	40.091	-121.115	20	16.0634721797361	1635	Canyon	Reservoir	40.2354282325	-121.110896343	All
2013.502551	5.69	1.575	30.859	17.9	19.1047453447742	24	Albert	Natural	1.72455677098	30.9436076355	All
2014.272355	6.13	12.392	-86.341	15	2.00007191982342	168	Managua	Natural	12.3804648879	-86.3551302083	All
2015.239082	5.5	26.697	108.758	15	8.02458978421246	2762	sanbanxi dam	Reservoir	26.6275	108.77975	All
2015.334986	5.55	-44.596	168.88	12.9	19.8543538235996	888	Wanaka	Natural	-44.5278861014	169.111654749	All
2015.92971	7.19	38.092	72.912	13	19.2511833729008	1843	usoi dam	Reservoir	38.2056363023	72.7459069146	All
2017.164856	5.57	37.616	38.415	14	15.020766449227	243	Ataturk Dam	Reservoir	37.4875408568	38.4677087402	All
2019.215293	5.6	-7.935	32.041	23.1	17.1418375714946	25	Rukwa	Natural	-7.97147890032	32.1922367838	All
2019.727473	5.68	33.067	73.725	13.2	14.7608722629235	703	Mangla	Reservoir	33.190759204	73.7823374191	All
