Time_10km	CumEQ_10km	Time_20km	CumEQ_20km	Time_30km	CumEQ_30km	Time_40km	CumEQ_40km	Time_50km	CumEQ_50km	Time_100km	CumEQ_100km	Time_150km	CumEQ_150km
2001.868291	1	1993.047308	1	1993.047308	1	1993.047308	1	1993.047308	1	1992.258247	1	1992.036388	1
2002.089801	1	2001.868291	1	1995.7472	1	1994.123788	1	1993.20454	1	1992.307191	1	1992.173502	1
2002.089801	2	2001.868291	2	1995.7472	2	1994.123788	2	1993.20454	2	1992.307191	2	1992.173502	2
2008.647658	2	2002.089801	2	1997.837383	2	1994.1606	2	1994.123788	2	1992.575908	2	1992.258247	2
2008.647658	3	2002.089801	3	1997.837383	3	1994.1606	3	1994.123788	3	1992.575908	3	1992.258247	3
2011.806832	3	2004.1795	3	2000.76701	3	1994.665778	3	1994.1606	3	1992.779052	3	1992.294009	3
2011.806832	4	2004.1795	4	2000.76701	4	1994.665778	4	1994.1606	4	1992.779052	4	1992.294009	4
2014.272355	4	2007.132394	4	2000.954682	4	1994.695459	4	1994.46511	4	1993.047308	4	1992.307191	4
2014.272355	5	2007.132394	5	2000.954682	5	1994.695459	5	1994.46511	5	1993.047308	5	1992.307191	5
2020	5	2007.173606	5	2001.868291	5	1995.7472	5	1994.665778	5	1993.20454	5	1992.38851	5
NaN	NaN	2007.173606	6	2001.868291	6	1995.7472	6	1994.665778	6	1993.20454	6	1992.38851	6
NaN	NaN	2008.647658	6	2002.089801	6	1997.837383	6	1994.695459	6	1993.75048	6	1992.488702	6
NaN	NaN	2008.647658	7	2002.089801	7	1997.837383	7	1994.695459	7	1993.75048	7	1992.488702	7
NaN	NaN	2009.860576	7	2002.421926	7	2000.76701	7	1995.7472	7	1994.004777	7	1992.575908	7
NaN	NaN	2009.860576	8	2002.421926	8	2000.76701	8	1995.7472	8	1994.004777	8	1992.575908	8
NaN	NaN	2011.122697	8	2004.1795	8	2000.872358	8	1995.959497	8	1994.090017	8	1992.629943	8
NaN	NaN	2011.122697	9	2004.1795	9	2000.872358	9	1995.959497	9	1994.090017	9	1992.629943	9
NaN	NaN	2011.806832	9	2004.81613	9	2000.954682	9	1997.837383	9	1994.097145	9	1992.779052	9
NaN	NaN	2011.806832	10	2004.81613	10	2000.954682	10	1997.837383	10	1994.097145	10	1992.779052	10
NaN	NaN	2013.502551	10	2005.586477	10	2001.868291	10	2000.76701	10	1994.123788	10	1992.954229	10
NaN	NaN	2013.502551	11	2005.586477	11	2001.868291	11	2000.76701	11	1994.123788	11	1992.954229	11
NaN	NaN	2014.272355	11	2007.132394	11	2002.089801	11	2000.872358	11	1994.124248	11	1993.005292	11
NaN	NaN	2014.272355	12	2007.132394	12	2002.089801	12	2000.872358	12	1994.124248	12	1993.005292	12
NaN	NaN	2015.334986	12	2007.173606	12	2002.421926	12	2000.954682	12	1994.144654	12	1993.047308	12
NaN	NaN	2015.334986	13	2007.173606	13	2002.421926	13	2000.954682	13	1994.144654	13	1993.047308	13
NaN	NaN	2019.215293	13	2007.45184	13	2002.809736	13	2001.868291	13	1994.1606	13	1993.20454	13
NaN	NaN	2019.215293	14	2007.45184	14	2002.809736	14	2001.868291	14	1994.1606	14	1993.20454	14
NaN	NaN	2020	14	2008.647658	14	2004.1795	14	2001.932405	14	1994.46511	14	1993.268948	14
NaN	NaN	NaN	NaN	2008.647658	15	2004.1795	15	2001.932405	15	1994.46511	15	1993.268948	15
NaN	NaN	NaN	NaN	2009.860576	15	2004.52557	15	2002.089801	15	1994.625686	15	1993.374327	15
